employee_id,first_name,last_name,dob
e_1,James,Mwangi,1990-05-14
e_2,Mary,Wanjiku,1988-09-23
e_3,John,Odhiambo,1995-03-11
e_4,Grace,Atieno,1992-12-02
e_5,Peter,Kamau,1987-06-18
e_6,Elizabeth,Achieng,1996-07-29
e_7,Samuel,Kariuki,1985-01-05
e_8,Lucy,Nyambura,1993-04-17
e_9,Daniel,Mbugua,1991-08-10
e_10,Cynthia,Njeri,1994-10-22
e_11,Joseph,Mutua,1989-11-30
e_12,Margaret,Wangari,1997-02-14
e_13,David,Otieno,1986-05-08
e_14,Ann,Nduta,1990-07-19
e_15,Francis,Kimani,1984-09-25
e_16,Diana,Muthoni,1998-06-30
e_17,Paul,Mwangi,1992-03-16
e_18,Agnes,Njoki,1983-12-07
e_19,George,Wainaina,1996-11-20
e_20,Sarah,Kendi,1988-01-09
e_21,Anthony,Omondi,1993-08-12
e_22,Rebecca,Koech,1985-04-26
e_23,Steve,Ndungu,1997-09-01
e_24,Esther,Chebet,1989-07-15
e_25,Benard,Kiprop,1986-10-05
e_26,Monica,Wairimu,1994-06-21
e_27,Nicholas,Mutisya,1991-02-13
e_28,Caroline,Mburu,1998-05-31
e_29,Patrick,Ochieng,1987-12-19
e_30,Alice,Ndunge,1995-09-23
e_31,Michael,Otieno,1990-11-14
e_32,Dorothy,Kavata,1984-07-08
e_33,Brian,Macharia,1993-03-29
e_34,Naomi,Mwaniki,1985-06-02
e_35,Felix,Njenga,1996-01-25
e_36,Irene,Kariuki,1989-08-18
e_37,Kevin,Nyakundi,1992-04-12
e_38,Sylvia,Mose,1997-07-27
e_39,Joshua,Kiprono,1983-10-30
e_40,Janet,Mutisya,1994-12-09
